"symbol","date","open","high","low","close","volume","adjusted"
"RRRP3",2020-11-13,21,21.35,20.799999,20.799999,470000,20.799999
"RRRP3",2020-11-16,21.15,21.25,20.969999,21,175800,21
"RRRP3",2020-11-17,20.940001,20.99,20.65,20.99,256600,20.99
"RRRP3",2020-11-18,20.99,21.07,20.9,20.9,96600,20.9
"RRRP3",2020-11-19,21,21.040001,20.82,20.9,84300,20.9
"RRRP3",2020-11-23,20.959999,21.35,20.959999,21.02,77700,21.02
"RRRP3",2020-11-24,21.15,21.5,21.15,21.32,1043300,21.32
"RRRP3",2020-11-25,21.6,23.24,21.6,23.120001,467200,23.120001
"RRRP3",2020-11-26,23.209999,23.799999,23.209999,23.799999,71400,23.799999
"RRRP3",2020-11-27,24,24.5,23,24,70500,24
"RRRP3",2020-11-30,24,24.200001,23.85,23.950001,69500,23.950001
"RRRP3",2020-12-01,24.059999,24.1,23.959999,24,91500,24
"RRRP3",2020-12-02,24,24.200001,24,24.049999,37600,24.049999
"RRRP3",2020-12-03,25,26.5,24.040001,24.5,477900,24.5
"RRRP3",2020-12-04,24.76,26.389999,24.700001,25.24,801800,25.24
"RRRP3",2020-12-07,25.24,26.690001,24.67,26.43,73200,26.43
"RRRP3",2020-12-08,26.6,27.65,26.6,27.4,123700,27.4
"RRRP3",2020-12-09,27.559999,28.889999,27.33,27.92,208300,27.92
"RRRP3",2020-12-10,28.75,28.889999,27.889999,28.110001,100600,28.110001
"RRRP3",2020-12-11,28.15,30.9,27.57,29.459999,105800,29.459999
"RRRP3",2020-12-14,31.950001,35,31.27,32,294200,32
"RRRP3",2020-12-15,32,35.349998,32,34.34,868700,34.34
"RRRP3",2020-12-16,34.98,35.84,33.400002,34,368700,34
"RRRP3",2020-12-17,34.98,35,32.919998,33.400002,252700,33.400002
"RRRP3",2020-12-18,34.799999,34.799999,32.959999,34.049999,346800,34.049999
"RRRP3",2020-12-21,33.150002,34.68,30.299999,33.48,231000,33.48
"RRRP3",2020-12-22,34.549999,34.82,33.91,34.5,163900,34.5
"RRRP3",2020-12-23,34.529999,37.23,34.52,36,442200,36
"RRRP3",2020-12-28,37,38.139999,37,37.669998,442100,37.669998
"RRRP3",2020-12-29,38,38.560001,37.400002,37.549999,329900,37.549999
"RRRP3",2020-12-30,37.529999,38.099998,37,37.200001,181500,37.200001
"RRRP3",2021-01-04,38,38.099998,36.389999,36.41,324700,36.41
"RRRP3",2021-01-05,36.880001,37.790001,36,37.59,321000,37.59
"RRRP3",2021-01-06,37.59,38.060001,36.82,37.049999,393100,37.049999
"RRRP3",2021-01-07,37.139999,37.630001,36.290001,36.5,1172200,36.5
"RRRP3",2021-01-08,36.580002,37.200001,35.509998,35.509998,359300,35.509998
"RRRP3",2021-01-11,35.25,35.25,33.5,33.5,440400,33.5
"RRRP3",2021-01-12,34.490002,35,33.990002,34.029999,317900,34.029999
"RRRP3",2021-01-13,34.25,35.619999,34.25,34.799999,202100,34.799999
"RRRP3",2021-01-14,34.919998,36,34.849998,36,248500,36
"RRRP3",2021-01-15,36,36.459999,34.5,35.310001,313000,35.310001
"RRRP3",2021-01-18,35.490002,35.900002,34.619999,35.419998,115100,35.419998
"RRRP3",2021-01-19,36.549999,37.349998,35.599998,35.599998,712300,35.599998
"RRRP3",2021-01-20,36,36.709999,35.02,35.5,351600,35.5
"RRRP3",2021-01-21,35.5,35.66,34.73,35,188200,35
"RRRP3",2021-01-22,34.529999,34.799999,33.849998,34.279999,215600,34.279999
"RRRP3",2021-01-26,34.990002,35.360001,31.93,32.290001,657900,32.290001
"RRRP3",2021-01-27,32.049999,33.009998,30.559999,32.259998,751400,32.259998
"RRRP3",2021-01-28,32.310001,34.209999,32.310001,33.5,160800,33.5
"RRRP3",2021-01-29,33.310001,34.310001,32,32.5,178000,32.5
"RRRP3",2021-02-01,34,34.450001,32.939999,33.060001,597300,33.060001
"RRRP3",2021-02-02,35,35.009998,33.259998,33.950001,569700,33.950001
"RRRP3",2021-02-03,33.970001,34.799999,33.5,34.259998,425500,34.259998
"RRRP3",2021-02-04,34.400002,35.490002,33.75,34,456700,34
"RRRP3",2021-02-05,34,34.73,33.84,34.57,539200,34.57
"RRRP3",2021-02-08,34.57,36,34.57,36,443400,36
"RRRP3",2021-02-09,36.41,37.450001,35.200001,35.689999,486700,35.689999
"RRRP3",2021-02-10,35.82,36.759998,35.610001,36.240002,182200,36.240002
"RRRP3",2021-02-11,36.240002,36.73,35.150002,35.18,125500,35.18
"RRRP3",2021-02-12,35.029999,35.919998,33.990002,35.790001,213500,35.790001
"RRRP3",2021-02-17,35.93,37.700001,35.93,37.700001,432500,37.700001
"RRRP3",2021-02-18,37.84,38.889999,37.150002,38.5,647300,38.5
"RRRP3",2021-02-19,38.900002,39,37.299999,37.869999,274100,37.869999
"RRRP3",2021-02-22,36.900002,39.41,35.950001,39.200001,580700,39.200001
"RRRP3",2021-02-23,39.200001,39.860001,37.700001,38.369999,371300,38.369999
"RRRP3",2021-02-24,38.41,41,38.060001,39.459999,579400,39.459999
"RRRP3",2021-02-25,39.700001,40.48,37.810001,38,392600,38
"RRRP3",2021-02-26,38.009998,38.709999,35.110001,35.970001,401200,35.970001
"RRRP3",2021-03-01,37.290001,40.880001,36.709999,38.91,2112300,38.91
"RRRP3",2021-03-02,38.91,41.880001,38.529999,41.59,1039800,41.59
"RRRP3",2021-03-03,41.400002,44.369999,39.599998,40.599998,1525200,40.599998
"RRRP3",2021-03-04,41.200001,42.990002,40.91,41.509998,483700,41.509998
"RRRP3",2021-03-05,42.220001,44.369999,42.220001,44.299999,700400,44.299999
"RRRP3",2021-03-08,45.310001,46.400002,42.349998,43.599998,990900,43.599998
"RRRP3",2021-03-09,44,45.259998,41.5,45.259998,551400,45.259998
"RRRP3",2021-03-10,45.599998,46.700001,45.130001,46.5,416300,46.5
"RRRP3",2021-03-11,46.599998,49,46.599998,49,666000,49
"RRRP3",2021-03-12,49.049999,50.990002,47.009998,47.5,934000,47.5
"RRRP3",2021-03-15,47.5,48.599998,46,46.32,345700,46.32
"RRRP3",2021-03-16,46.299999,47.009998,44.48,44.48,549100,44.48
"RRRP3",2021-03-17,44.200001,45.84,42.919998,45.689999,627400,45.689999
"RRRP3",2021-03-18,45.790001,46.84,42.209999,42.540001,560300,42.540001
"RRRP3",2021-03-19,43.130001,45.950001,43.130001,44,625500,44
"RRRP3",2021-03-22,43.98,44.57,42.799999,42.799999,248300,42.799999
"RRRP3",2021-03-23,42.5,42.599998,40.950001,40.950001,325400,40.950001
"RRRP3",2021-03-24,41.610001,42.349998,40.41,41.200001,448400,41.200001
"RRRP3",2021-03-25,40.709999,41.98,40.099998,40.599998,408500,40.599998
"RRRP3",2021-03-26,41.57,42.599998,39.080002,39.400002,822000,39.400002
"RRRP3",2021-03-29,39.43,40.490002,38.41,38.849998,572000,38.849998
"RRRP3",2021-03-30,38.860001,40.599998,37.75,39.299999,926200,39.299999
"RRRP3",2021-03-31,39,39.599998,37.700001,38.200001,2760600,38.200001
"RRRP3",2021-04-01,38.509998,38.720001,37.18,37.869999,1816800,37.869999
"RRRP3",2021-04-05,38.509998,38.509998,36.509998,37.119999,1068400,37.119999
"RRRP3",2021-04-06,37.299999,38.830002,36.740002,38.400002,1603900,38.400002
"RRRP3",2021-04-07,38.869999,40.34,38.169998,39.849998,1944300,39.849998
"RRRP3",2021-04-08,40.310001,41,39.099998,40.369999,1489700,40.369999
"RRRP3",2021-04-09,40.23,40.540001,38.549999,39.82,1060500,39.82
"RRRP3",2021-04-12,39.91,40.349998,39.57,40.07,707100,40.07
"RRRP3",2021-04-13,40.290001,40.290001,39.77,39.959999,956100,39.959999
"RRRP3",2021-04-14,40.07,42.880001,40.07,41.700001,1783300,41.700001
"RRRP3",2021-04-15,42.299999,43.189999,41.099998,42,1276200,42
"RRRP3",2021-04-16,42.200001,42.900002,41.200001,41.599998,918200,41.599998
"RRRP3",2021-04-19,42.009998,43.939999,41.830002,43,1754500,43
"RRRP3",2021-04-20,43,44.889999,43,43.650002,1912900,43.650002
"RRRP3",2021-04-22,44.299999,44.5,42.700001,44.080002,1150600,44.080002
"RRRP3",2021-04-23,44.549999,46.099998,44.09,45.869999,1858700,45.869999
"RRRP3",2021-04-26,45.869999,47.150002,45.049999,45.150002,1233900,45.150002
"RRRP3",2021-04-27,45.150002,46.099998,44.779999,45.5,1121500,45.5
"RRRP3",2021-04-28,45.5,46.459999,42.57,45.799999,1769700,45.799999
"RRRP3",2021-04-29,46.16,47.419998,45.110001,45.73,1171800,45.73
"RRRP3",2021-04-30,45.73,46.290001,43.150002,43.669998,3825400,43.669998
"RRRP3",2021-05-03,43.689999,43.84,41.700001,42,1468800,42
"RRRP3",2021-05-04,42.259998,42.700001,40.560001,41,1448700,41
"RRRP3",2021-05-05,41.5,42.279999,40.650002,41.349998,3572400,41.349998
"RRRP3",2021-05-06,41.900002,42.150002,41.09,41.389999,909600,41.389999
"RRRP3",2021-05-07,41.259998,41.610001,39.029999,40.400002,2179500,40.400002
"RRRP3",2021-05-10,40.599998,41.150002,39.599998,39.91,1542000,39.91
"RRRP3",2021-05-11,39.669998,39.779999,38.400002,39.150002,1010100,39.150002
"RRRP3",2021-05-12,39.34,40.259998,38.549999,38.549999,766200,38.549999
"RRRP3",2021-05-13,38.580002,39.049999,37.209999,37.700001,970800,37.700001
"RRRP3",2021-05-14,38.400002,39.5,37.599998,38,1644600,38
"RRRP3",2021-05-17,38,38.630001,37.380001,37.900002,926100,37.900002
"RRRP3",2021-05-18,38,38.400002,35.990002,36.560001,2025900,36.560001
"RRRP3",2021-05-19,35.5,36.48,35.279999,35.689999,14067600,35.689999
"RRRP3",2021-05-20,35.91,36.689999,35.91,36.029999,923300,36.029999
"RRRP3",2021-05-21,36.220001,37.330002,36.169998,36.43,1222800,36.43
"RRRP3",2021-05-24,36.860001,39.5,36.860001,38.919998,1789000,38.919998
"RRRP3",2021-05-25,39.040001,40.349998,38.73,38.799999,1693900,38.799999
"RRRP3",2021-05-26,39.060001,40.16,39.060001,39.900002,1514600,39.900002
"RRRP3",2021-05-27,40.16,41.25,40.16,40.689999,1864900,40.689999
"RRRP3",2021-05-28,41.099998,41.610001,39.209999,40.900002,1246800,40.900002
"RRRP3",2021-05-31,40.98,41.73,40.599998,40.970001,700200,40.970001
"RRRP3",2021-06-01,42,42.25,41.040001,41.189999,1298600,41.189999
"RRRP3",2021-06-02,41.439999,41.950001,40.639999,41.400002,1889500,41.400002
"RRRP3",2021-06-04,41.990002,42.279999,40.849998,41.240002,1478000,41.240002
"RRRP3",2021-06-07,40.990002,41.200001,39.639999,40.07,1471900,40.07
"RRRP3",2021-06-08,39.98,40.419998,39.240002,40.009998,957300,40.009998
"RRRP3",2021-06-09,40.040001,40.220001,38.799999,39.549999,819500,39.549999
"RRRP3",2021-06-10,39.470001,40.02,39.099998,39.900002,579500,39.900002
"RRRP3",2021-06-11,39.900002,40.189999,39.139999,39.639999,614900,39.639999
"RRRP3",2021-06-14,40.66,41.810001,40.650002,41.799999,2272900,41.799999
"RRRP3",2021-06-15,42.060001,46,42.060001,44.689999,4115800,44.689999
"RRRP3",2021-06-16,44.970001,46.32,43.27,45.099998,1905900,45.099998
"RRRP3",2021-06-17,44.689999,45.779999,43.299999,44.200001,1548100,44.200001
"RRRP3",2021-06-18,44.200001,45.970001,43.400002,45.299999,1494900,45.299999
"RRRP3",2021-06-21,45.5,49.150002,45.290001,48.860001,2598300,48.860001
"RRRP3",2021-06-22,49.490002,49.98,47.009998,48.099998,2300400,48.099998
"RRRP3",2021-06-23,48.849998,49.150002,47.650002,47.709999,1456700,47.709999
"RRRP3",2021-06-24,47.919998,48.029999,46.150002,46.610001,1039400,46.610001
"RRRP3",2021-06-25,46.799999,46.799999,45.75,46.25,1318900,46.25
"RRRP3",2021-06-28,45.91,46.439999,44.950001,46.330002,1086500,46.330002
